Fonte;Valor Previsto;Valor Arrecadado
1706124 - TRANSFERENCIA ESPECIAL DA UNIAO                                                           ;1021826;32251721,02
1706139 - TRANSFERENCIA ESPECIAL DA UNIAO                                                           ;0;0
1707123 - TRANSFERENCIAS DA UNIAO - INCISO I DO ART. 5º DA LEI COMPLEMENTAR 173/2020                ;0;89033,33
1708100 - TRANSFERENCIA DA UNIAO REFERENTE A COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS            ;1540708;846391,19
1711100 - DEMAIS TRANSFERENCIAS OBRIGATORIAS NAO DECORRENTES DE REPARTICOES DE RECEITAS.            ;7332100;0
1711113 - DEMAIS TRANSFERENCIAS OBRIGATORIAS NAO DECORRENTES DE REPARTICOES DE RECEITA              ;0;14648535,94
1715113 - TRANSFERENCIAS DESTINADAS AO SETOR CULTURAL -  LC N 195/2022 - ART. 5  - AUDIOVISUAL      ;0;36213732,12
1716113 - TRANSFERENCIAS DESTINADAS AO SETOR CULTURAL - LC Nº 195/2022 – ART. 8º - DEMAIS SETORES DA;0;14674002,93
1717134 - ASSISTENCIA FINANCEIRA TRANSPORTE COLETIVO – ART. 5º INCISO IV EC Nº 123/2022           ;0;1070879,41
1719113 - TRANSFERENCIAS DA POLITICA NACIONAL ALDIR BLANC DE FOMENTO A CULTURA - LEI N 14399/2022   ;0;37720530,61
1749108 - OUTRAS VINCULACOES DE TRANSFERENCIAS                                                      ;0;385153,15
1749113 - OUTRAS VINCULACOES DE TRANSFERENCIAS - DIVERSAS                                           ;0;0
1749208 - OUTRAS VINCULACOES DE TRANSFERENCIAS                                                      ;0;1230201893,69
1750140 - RECURSOS DA CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                       ;2120521;394193,82
1751150 - RECURSOS DA CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA - COSIP          ;372864908;290323803,68
1752109 - RECURSOS VINCULADOS AO TRANSITO                                                           ;189737985;196390251,59
1754110 - RECURSOS DE OPERACOES DE CREDITO                                                          ;181744927;2115153678,42
1755104 - RECURSOS DE ALIENACAO DE BENS/ATIVOS - ADMINISTRACAO DIRETA                               ;168130625;68308775,53
1757100 - RECURSOS DE DEPOSITOS JUDICIAIS - LIDES DAS QUAIS O ENTE FAZ PARTE                        ;167337571;1800697,56
1759105 - RECURSOS VINCULADOS A FUNDOS                                                              ;0;2027537,52
1759108 - RECURSOS VINCULADOS A FUNDOS                                                              ;0;827657,55
1759113 - RECURSOS VINCULADOS A FUNDOS                                                              ;0;34672572,65
1759143 - RECURSOS VINCULADOS A FUNDOS                                                              ;0;95310440,33
1759144 - RECURSOS VINCULADOS A FUNDOS                                                              ;0;3718282,31
1759148 - RECURSOS VINCULADOS A FUNDOS - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES           ;0;69656,12
1759199 - RECURSOS VINCULADOS A FUNDOS                                                              ;0;32655660,62
1759268 - RECURSOS VINCULADOS A FUNDOS                                                              ;276312081;305015193,9
1799103 - OUTRAS VINCULACOES LEGAIS                                                                 ;63557625;60075641,92
1800204 - RECURSOS VINCULADOS AO RPPS - FUNDO EM CAPITALIZACAO (PLANO PREVIDENCIARIO) - ALIENACOES D;0;2363337,68
1800214 - RECURSOS VINCULADOS AO RPPS - FUNDO EM CAPITALIZACAO (PLANO PREVIDENCIARIO)               ;6099145060;6198889874,51
1802200 - RECURSOS VINCULADOS AO RPPS - TAXA DE ADMINISTRACAO                                       ;83548822;40448007,1
1899105 - OUTROS RECURSOS VINCULADOS                                                                ;986890;98485,13
1899106 - OUTROS RECURSOS VINCULADOS                                                                ;17809325;24146802,89
1899113 - OUTROS RECURSOS VINCULADOS                                                                ;251656575;37715593,69
1899143 - OUTROS RECURSOS VINCULADOS                                                                ;33767605;15218,83
1899144 - OUTROS RECURSOS VINCULADOS - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE            ;2943007;0
1899146 - OUTROS RECURSOS VINCULADOS                                                                ;320423641;251416945,65
1899147 - OUTROS RECURSOS VINCULADOS                                                                ;1306238;2662363,32
1899151 - OUTROS RECURSOS VINCULADOS                                                                ;0;2088,63
1899152 - OUTROS RECURSOS VINCULADOS                                                                ;0;19264,92
1899199 - OUTROS RECURSOS VINCULADOS                                                                ;23060466;0
9700118 - OUTRAS TRANSFERENCIAS DE CONVENIOS OU INSTRUMENTOS CONGENERES DA UNIAO                    ;0;0
9749118 - OUTRAS VINCULACOES DE TRANSFERENCIAS                                                      ;0;0
9754112 - RECURSOS DE OPERACOES DE CREDITO                                                          ;3679079851;0
